id,edition,school_year,name,school,stage,subject,stage_norm,subject_cat,sector,verification_source,audit_note
151,10,2023/2024,張佩菁,中葡職業技術學校,職業技術/中學,高中職業技術教育 / 職教多學科協調,職業技術,綜合職教/設計/商科,公立,官方特刊特寫: 廿五載公職校園...公立高中職業技術教育時代價值,公立學校獲獎教師，深耕高中職業技術教育25載。
152,10,2023/2024,鄭凱珊,石排灣公立學校,幼稚園,幼兒教育 / 公立幼教與社區共融,幼稚園,幼兒綜合,公立,官方特刊特寫及教青局專訪: 幼兒教育教師，成為專業、成就孩子,公立學校獲獎教師，石排灣公立學校幼稚園幼師。
153,10,2023/2024,Natacha Cristina Reis Fidalgo Gonçalves,鄭觀應公立學校,中小學,葡語 (Língua Portuguesa) / 雙語教學,中學,葡語/外語,公立,"官方特刊特寫: Escola Oficial Zheng Guanying, Língua Portuguesa",公立學校獲獎教師，鄭觀應公立學校葡語教學骨幹。
154,11,2024/2025,李振邦,培正中學,中學,AI與統計學 / 跨學科iGEM科研 (副主任),中學,資訊科技/STEAM,私立,教青局官方典禮名單及培正教研: 教學與課程發展處副主任，AI與iGEM跨學科科研,中學跨學科AI、數學統計及國際科研競賽指導。
155,11,2024/2025,李榮傑,沙梨頭坊眾學校,小學/初中,資訊科技 / STEM / 機器人競賽,小學,資訊科技/STEAM,私立,教青局官方名單及沙坊科技組: 助理主任，資訊科技及機器人STEM競賽指導,沙坊小學及初中資訊科技骨幹及科技輔導員。
156,11,2024/2025,吳雄舟,培正中學,中學,中學英語 / 英文科副科主任,中學,英語,私立,教青局官方名單及培正英文組: 英文科副科主任，國際研學與英語文學指導,更正前誤植為物理/科普。官方確認為中學英文科副主任。
157,11,2024/2025,林怡,澳門坊眾學校,中學,中學中文 / 徵文誦讀,中學,語文/中文,私立,教青局官方名單及澳坊語文組: 中文科教師，徵文與傳統經典誦讀指導,中學中文科教師。
158,11,2024/2025,袁金淑,培華中學,中學,品德與公民科組長 / 德育與愛國愛澳教育,中學,品德/公民/生涯,私立,教青局官方名單及培華教務: 品德與公民科組長，教育學博士,品德與公民科組長，深耕愛國愛澳與誠信德育。
159,11,2024/2025,翁燕楓,濠江中學,中學,中學語文 / 思辨寫作與AI輔助教學,中學,語文/中文,私立,教青局官方名單及濠江語文組: 高中語文教師，推動思辨寫作與AI賦能課堂,中學語文科骨幹教師。
160,11,2024/2025,張子傑,粵華中學,中學,升學與生涯規劃組長 / 中文科,中學,品德/公民/生涯,私立,教青局官方名單及粵華教務: 升學及生涯規劃組組長，中文教師,粵華中學升學與生涯規劃組組長。
161,11,2024/2025,陳榕,教業中學,中學,中學歷史 / 史地組長 / 傳統文化項目組長,中學,歷史,私立,教青局官方名單及教業史地組: 歷史教師，史地科組長及孔子學堂項目負責人,更正前誤植為數學。官方確認為中學歷史教師及史地科組長。
162,11,2024/2025,陳毓輝,聖公會(澳門)蔡高中學,中學,資訊科技 / STEM與AI編程競賽,中學,資訊科技/STEAM,私立,教青局官方名單及蔡高科技組: 資訊科技教師，青少年AI創新與編程競賽指導,中學資訊科技及STEM教研骨幹。
163,11,2024/2025,梁寶欣,勞校中學,中學,中學語文 / 華人少年作文指導,中學,語文/中文,私立,教青局官方名單及勞校語文組: 中學語文教師，指導學生多次獲華人少年作文大獎,中學語文科骨幹教師。
164,11,2024/2025,黃斯婷,廣大中學,中學,中學視覺藝術 / 設計應用 (國家教學成果獎),中學,藝術(視藝/音樂/舞蹈),私立,教青局官方名單及廣大美育組: 初中設計應用課程開發，榮獲國家級教學成果獎二等獎,視覺藝術與設計應用跨學科美育骨幹。
165,11,2024/2025,葉健俊,培正中學,中學,中學音樂 / 合唱團指導與指揮,中學,藝術(視藝/音樂/舞蹈),私立,教青局官方名單及培正藝術組: 音樂教師、合唱團指揮，率隊獲中國合唱大會總亞軍,更正前誤植為化學。官方確認為音樂科教師及合唱團指導。
166,11,2024/2025,蔡佰祿,青洲中學,中學,中學物理 / 綜合與創新科 / 機器人潛能,中學,物理,私立,教青局官方名單及青洲科技組: 物理及綜合創新科，初一至高二AI物聯網課程體系搭建,青洲中學物理科及科技創新教育負責人。
167,11,2024/2025,鄧源發,同善堂中學,小學,小學數學及科技教育 (小學部副主任),小學,數學,私立,教青局官方名單及同善堂小學部: 小學部副主任，數學與創新科技競賽指導,小學部副主任，數學及科普教育指導。
168,11,2024/2025,戰歌,濠江中學附屬英才學校,幼稚園,幼兒教育 / 兒童藝術與身體律動,幼稚園,幼兒綜合,私立,教青局官方名單及英才幼教組: 格言「相信兒童，尊重兒童」，幼兒藝術律動,英才學校幼稚園幼教骨幹，內師交流與藝術啓蒙。
169,11,2024/2025,林嘉艷,公立學校,小學,小學教育 (全科/班主任) [待進一步官方公佈科組],小學,小學全科/班主任,公立,教青局公報: 幼兒教育及小學教育一級教師(小學)，格言「看見每份獨特光芒」,公立學校獲獎教師。官方登記為小學教育一級教師，具體任教科組註記待官方進一步公佈以示公允。
170,11,2024/2025,陳雯雯,氹仔中葡學校,小學,小學教育 (沉浸式資訊課堂) [待進一步官方公佈具體學科],小學,小學全科/班主任,公立,教青局官方典禮: 氹仔中葡學校小學部，格言「做有溫度的引路人」,公立學校獲獎教師。深耕小學沉浸式智慧教學，具體專科註記待官方特刊出版進一步核定以示公允。
171,11,2024/2025,樊惠玲,中葡職業技術學校,職業技術/中學,高中健康照顧課程協調員 / 專業職教,職業技術,綜合職教/設計/商科,公立,教青局官方名單及鏡湖護院合辦課程: 長期擔任高中健康照顧課程協調員,公立學校獲獎教師。高中職業技術教育健康照顧專業負責人。
